player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s,minutes,tackles_won_per90,interceptions_per90,fouls_per90,fouled_per90
Hakan Çalhanoğlu,MF,Türkiye,32,2.0,2,1,1,3,Group-stage exit,3.0,180,1.5,0.5,1.0,0.5
Hannibal Mejbri,MF,Tunisia,23,3.0,4,15,1,4,Group-stage exit,3.0,270,1.3333333333333333,0.3333333333333333,1.3333333333333333,5.0
Hwang In-beom,MF,Korea Republic,29,2.9,1,1,4,2,Group-stage exit,3.0,261,0.6896551724137931,1.3793103448275863,0.3448275862068966,0.3448275862068966
Ibrahim Bayesh,"MF,FW",Iraq,26,2.6,3,5,1,4,Group-stage exit,3.0,234,1.5384615384615383,0.3846153846153846,1.1538461538461537,1.923076923076923
Issa Laye,"MF,DF",Qatar,28,3.0,0,3,1,1,Group-stage exit,3.0,270,0.3333333333333333,0.3333333333333333,0.0,1.0
Jean-Ricner Bellegarde,MF,Haiti,27,2.9,4,5,3,2,Group-stage exit,3.0,261,0.6896551724137931,1.0344827586206897,1.3793103448275863,1.7241379310344829
Joe Bell,MF,New Zealand,27,2.7,3,0,4,2,Group-stage exit,3.0,243,0.7407407407407407,1.4814814814814814,1.111111111111111,0.0
John McGinn,MF,Scotland,31,2.9,2,11,0,0,Group-stage exit,3.0,261,0.0,0.0,0.6896551724137931,3.793103448275862
Josué Casimir,MF,Haiti,24,2.0,4,4,0,0,Group-stage exit,3.0,180,0.0,0.0,2.0,2.0
José Luis Rodríguez,"MF,FW",Panama,27,2.6,4,2,0,3,Group-stage exit,3.0,234,1.1538461538461537,0.0,1.5384615384615383,0.7692307692307692
Juninho Bacuna,MF,Curaçao,28,2.8,6,3,5,4,Group-stage exit,3.0,252,1.4285714285714286,1.7857142857142858,2.142857142857143,1.0714285714285714
Kenan Yıldız,MF,Türkiye,21,2.4,2,4,1,2,Group-stage exit,3.0,216,0.8333333333333334,0.4166666666666667,0.8333333333333334,1.6666666666666667
Leandro Bacuna,MF,Curaçao,34,3.0,3,3,0,3,Group-stage exit,3.0,270,1.0,0.0,1.0,1.0
Lewis Ferguson,MF,Scotland,26,3.0,5,10,4,7,Group-stage exit,3.0,270,2.3333333333333335,1.3333333333333333,1.6666666666666667,3.3333333333333335
Livano Comenencia,MF,Curaçao,22,2.6,4,1,11,1,Group-stage exit,3.0,234,0.3846153846153846,4.230769230769231,1.5384615384615383,0.3846153846153846
Manuel Ugarte,MF,Uruguay,25,2.0,1,0,3,1,Group-stage exit,3.0,180,0.5,1.5,0.5,0.0
Marko Stamenic,MF,New Zealand,24,3.0,4,0,4,1,Group-stage exit,3.0,270,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
Martin Expérience,"DF,MF",Haiti,27,3.0,7,6,4,6,Group-stage exit,3.0,270,2.0,1.3333333333333333,2.3333333333333335,2.0
Maxi Araújo,"FW,MF",Uruguay,26,2.8,2,7,0,0,Group-stage exit,3.0,252,0.0,0.0,0.7142857142857143,2.5
Michael Amir Murillo,"DF,MF",Panama,30,3.0,1,7,1,3,Group-stage exit,3.0,270,1.0,0.3333333333333333,0.3333333333333333,2.3333333333333335
Michal Sadílek,MF,Czechia,27,2.0,0,3,2,2,Group-stage exit,3.0,180,1.0,1.0,0.0,1.5
