player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s,minutes,tackles_won_per90,interceptions_per90,fouls_per90,fouled_per90,sample_id,selection_probability,sample_weight
Moisés Caicedo,MF,Ecuador,24,4.0,5,4,4,6,Knockout stage,4.0,360,1.5,1.0,1.25,1.0,WC26-MF-S078,0.2777777777777778,3.5999999999999996
Mostafa Ziko,"FW,MF",Egypt,29,4.1,6,5,2,4,Knockout stage,5.3,369,0.9756097560975611,0.48780487804878053,1.4634146341463417,1.2195121951219514,WC26-MF-S079,0.2777777777777778,3.5999999999999996
Nabil Bentaleb,MF,Algeria,31,3.2,2,3,3,4,Knockout stage,4.0,288,1.25,0.9375,0.625,0.9375,WC26-MF-S080,0.2777777777777778,3.5999999999999996
Neil El Aynaoui,MF,Morocco,24,6.2,15,7,8,9,Knockout stage,6.3,558,1.4516129032258065,1.2903225806451613,2.4193548387096775,1.129032258064516,WC26-MF-S081,0.2777777777777778,3.5999999999999996
Ngal'Ayel Mukau,MF,Congo DR,21,2.2,3,4,3,2,Knockout stage,4.0,198,0.9090909090909091,1.3636363636363635,1.3636363636363635,1.8181818181818181,WC26-MF-S082,0.2777777777777778,3.5999999999999996
Nicolas Raskin,MF,Belgium,25,3.8,12,3,2,5,Knockout stage,6.3,342,1.3157894736842106,0.5263157894736842,3.1578947368421053,0.7894736842105263,WC26-MF-S083,0.2777777777777778,3.5999999999999996
Nicolas Seiwald,MF,Austria,25,3.5,1,1,4,5,Knockout stage,4.0,315,1.4285714285714286,1.1428571428571428,0.2857142857142857,0.2857142857142857,WC26-MF-S084,0.2777777777777778,3.5999999999999996
Nikola Vlašić,MF,Croatia,28,2.1,5,0,1,2,Knockout stage,4.0,189,0.9523809523809523,0.47619047619047616,2.380952380952381,0.0,WC26-MF-S085,0.2777777777777778,3.5999999999999996
Nilson Angulo,MF,Ecuador,22,2.4,4,3,2,1,Knockout stage,4.0,216,0.4166666666666667,0.8333333333333334,1.6666666666666667,1.25,WC26-MF-S086,0.2777777777777778,3.5999999999999996
Noah Sadiki,MF,Congo DR,21,2.9,2,3,2,4,Knockout stage,4.0,261,1.3793103448275863,0.6896551724137931,0.6896551724137931,1.0344827586206897,WC26-MF-S087,0.2777777777777778,3.5999999999999996
Noni Madueke,MF,England,24,3.2,2,3,2,4,Knockout stage,8.3,288,1.25,0.625,0.625,0.9375,WC26-MF-S088,0.2777777777777778,3.5999999999999996
Pape Gueye,MF,Senegal,27,2.6,4,2,4,1,Knockout stage,4.3,234,0.3846153846153846,1.5384615384615383,1.5384615384615383,0.7692307692307692,WC26-MF-S089,0.2777777777777778,3.5999999999999996
Patrick Berg,MF,Norway,28,4.9,4,2,2,7,Knockout stage,6.3,441,1.4285714285714284,0.4081632653061224,0.8163265306122448,0.4081632653061224,WC26-MF-S090,0.2777777777777778,3.5999999999999996
Paul Wanner,MF,Austria,20,2.6,4,2,2,1,Knockout stage,4.0,234,0.3846153846153846,0.7692307692307692,1.5384615384615383,0.7692307692307692,WC26-MF-S091,0.2777777777777778,3.5999999999999996
Pedro Vite,MF,Ecuador,24,4.0,2,5,5,11,Knockout stage,4.0,360,2.75,1.25,0.5,1.25,WC26-MF-S092,0.2777777777777778,3.5999999999999996
Remo Freuler,MF,Switzerland,34,6.6,8,3,8,5,Knockout stage,6.7,594,0.7575757575757576,1.2121212121212122,1.2121212121212122,0.4545454545454546,WC26-MF-S093,0.2777777777777778,3.5999999999999996
Riyad Mahrez,MF,Algeria,35,2.9,1,7,1,2,Knockout stage,4.0,261,0.6896551724137931,0.3448275862068966,0.3448275862068966,2.413793103448276,WC26-MF-S094,0.2777777777777778,3.5999999999999996
Romano Schmid,"MF,FW",Austria,26,2.9,3,4,0,4,Knockout stage,4.0,261,1.3793103448275863,0.0,1.0344827586206897,1.3793103448275863,WC26-MF-S095,0.2777777777777778,3.5999999999999996
Ruben Vargas,MF,Switzerland,27,3.2,6,6,2,2,Knockout stage,6.7,288,0.625,0.625,1.875,1.875,WC26-MF-S096,0.2777777777777778,3.5999999999999996
Samuel Moutoussamy,MF,Congo DR,29,3.7,8,1,1,8,Knockout stage,4.0,333,2.162162162162162,0.27027027027027023,2.162162162162162,0.27027027027027023,WC26-MF-S097,0.2777777777777778,3.5999999999999996
Victor Lindelöf,"DF,MF",Sweden,31,4.0,3,0,4,1,Knockout stage,4.0,360,0.25,1.0,0.75,0.0,WC26-MF-S098,0.2777777777777778,3.5999999999999996
Weston McKennie,MF,USA,27,4.9,8,2,7,7,Knockout stage,5.0,441,1.4285714285714284,1.4285714285714284,1.6326530612244896,0.4081632653061224,WC26-MF-S099,0.2777777777777778,3.5999999999999996
Youri Tielemans,MF,Belgium,29,5.3,7,10,2,6,Knockout stage,6.3,477,1.1320754716981132,0.37735849056603776,1.3207547169811322,1.8867924528301887,WC26-MF-S100,0.2777777777777778,3.5999999999999996
