player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s
"Felix Nmecha","MF","Germany",25,3,3,3,2,9,"Knockout stage",4.3
"Florian Wirtz","MF","Germany",23,4,1,3,2,6,"Knockout stage",4.3
"Franck Kessié","MF","Côte d'Ivoire",29,3.8,7,2,0,4,"Knockout stage",4
"Fredrik Aursnes","MF,DF","Norway",30,3.4,5,3,1,8,"Knockout stage",6.3
"Frenkie de Jong","MF","Netherlands",29,3.6,6,6,8,7,"Knockout stage",4.3
"Gabriel Gudmundsson","MF,DF","Sweden",27,3.7,5,7,5,3,"Knockout stage",4
"Gilberto Mora","MF","Mexico",17,2.4,3,3,2,2,"Knockout stage",5
"Granit Xhaka","MF","Switzerland",33,6.7,4,12,4,4,"Knockout stage",6.7
"Gustavo Puerta","MF","Colombia",22,5.2,9,8,3,3,"Knockout stage",5.3
"Hamdy Fathy","DF,MF","Egypt",31,2.6,3,2,2,3,"Knockout stage",5.3
"Hans Vanaken","MF","Belgium",33,3.5,0,6,1,1,"Knockout stage",6.3
"Ibrahim Maza","MF,FW","Algeria",20,3.9,1,5,0,2,"Knockout stage",4
"Ibrahim Sangaré","MF","Côte d'Ivoire",28,3,2,4,6,5,"Knockout stage",4
"Idrissa Gueye","MF","Senegal",36,4,2,2,2,4,"Knockout stage",4.3
"Ismaila Sarr","MF,FW","Senegal",28,4,1,9,2,1,"Knockout stage",4.3
"Ivan Bašić","MF","Bosnia–Herz",24,2,2,3,3,1,"Knockout stage",4
"Ivan Perišić","MF,DF","Croatia",37,4,4,1,4,4,"Knockout stage",4
"Ivan Šunjić","MF","Bosnia–Herz",29,2.2,7,0,0,3,"Knockout stage",4
"Jackson Irvine","MF","Australia",33,2.5,3,3,1,1,"Knockout stage",4.3
"Jamal Musiala","MF","Germany",23,3,5,11,1,5,"Knockout stage",4.3
"James Rodríguez","FW,MF","Colombia",34,3.5,0,5,1,1,"Knockout stage",5.3
"Jamiro Monteiro","MF","Cabo Verde",32,3.1,4,2,4,4,"Knockout stage",4.3
"Jefferson Lerma","MF","Colombia",31,4.6,6,5,5,1,"Knockout stage",5.3
"Jeremy Doku","MF","Belgium",24,3.4,4,18,3,1,"Knockout stage",6.3
"Jhon Arias","MF","Colombia",28,4.2,5,2,2,9,"Knockout stage",5.3
"João Félix","MF","Portugal",26,2.2,3,6,3,4,"Knockout stage",5
"João Neves","MF","Portugal",21,4.3,1,4,4,7,"Knockout stage",5
